"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","TestDuration","CBB_RESULTS","Cogstate Battery Results","-4","The total time (ms) from test start until the end of the test.","-4","-4","-4","-4","-4","0 to 9999999","-4","-4","Milliseconds","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
"-4","ReactionTime","CBB_RESULTS","Cogstate Battery Results","-4","Mean of log10 transformed reaction times of correct responses.","-4","-4","-4","-4","-4","2.001 to 6","-4","-4","Number (log10 milliseconds)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
"-4","RawReactionTime","CBB_RESULTS","Cogstate Battery Results","-4","Mean of reaction times of correct responses.","-4","-4","-4","-4","-4","0 to 99999","-4","-4","Milliseconds","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
"-4","RTVariability","CBB_RESULTS","Cogstate Battery Results","-4","Standard deviation of log10 transformed reaction times of correct responses.","-4","-4","-4","-4","-4","0 to 2.2","-4","-4","Number (log10 milliseconds)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
"-4","RawRTVariability","CBB_RESULTS","Cogstate Battery Results","-4","Standard deviation of reaction times of correct responses.","-4","-4","-4","-4","-4","0 to 99999","-4","-4","Milliseconds","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
"-4","Accuracy","CBB_RESULTS","Cogstate Battery Results","-4","Accuracy of performance (arcsine square root proportion correct)","-4","-4","-4","-4","-4","0 to 1.57080","-4","-4","Number (arcsine square root proportion correct)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
"-4","RawAccuracy","CBB_RESULTS","Cogstate Battery Results","-4","Accuracy of performance (proportion of correct responses).","-4","-4","-4","-4","-4","0 to 1","-4","-4","Number","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
"-4","TotalCorrect","CBB_RESULTS","Cogstate Battery Results","-4","Number of correct responses.","-4","-4","-4","-4","-4","0 to 200","-4","-4","Number","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
"-4","TotalCorrectExclPant","CBB_RESULTS","Cogstate Battery Results","-4","Number of correct responses after Pant (post-anticipatory) responses have been excluded.","-4","-4","-4","-4","-4","0 to 200","-4","-4","Number","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
"-4","TotalErrors","CBB_RESULTS","Cogstate Battery Results","-4","Number of errors.","-4","-4","-4","-4","-4","0 to 200","-4","-4","Number","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-06-19 15:26:00.0"
