Date,Time,CO2(mmHg),CRC,
2023-08-24,15:57:38.31,1,32408,
2023-08-24,15:57:38.56,1,57904,
2023-08-24,15:57:38.80,1,58579,
2023-08-24,15:57:39.07,1,4018,
2023-08-24,15:57:39.31,1,50937,
2023-08-24,15:57:39.54,1,46905,
2023-08-24,15:57:39.78,1,48264,
2023-08-24,15:57:40.02,1,24355,
2023-08-24,15:57:40.39,1,45038,
2023-08-24,15:57:40.55,1,11609,
2023-08-24,15:57:40.81,1,50898,
2023-08-24,15:57:41.05,1,46703,
2023-08-24,15:57:41.31,1,37452,
2023-08-24,15:57:41.55,1,38200,
2023-08-24,15:57:41.78,1,59453,
2023-08-24,15:57:42.02,1,16320,
2023-08-24,15:57:42.28,1,5096,
2023-08-24,15:57:42.56,1,54886,
2023-08-24,15:57:42.80,1,53381,
2023-08-24,15:57:43.05,1,54924,
2023-08-24,15:57:43.31,1,62127,
2023-08-24,15:57:43.55,1,62939,
2023-08-24,15:57:43.81,1,7760,
2023-08-24,15:57:44.04,1,47484,
2023-08-24,15:57:44.35,1,8474,
2023-08-24,15:57:44.53,1,51974,
2023-08-24,15:57:44.79,1,59182,
2023-08-24,15:57:45.06,1,60533,
2023-08-24,15:57:45.31,1,21386,
2023-08-24,15:57:45.55,1,21758,
2023-08-24,15:57:45.81,1,49013,
2023-08-24,15:57:46.14,1,29646,
2023-08-24,15:57:46.28,1,53806,
2023-08-24,15:57:46.53,1,44005,
2023-08-24,15:57:46.77,1,9623,
2023-08-24,15:57:47.05,1,5962,
2023-08-24,15:57:47.29,1,7419,
2023-08-24,15:57:47.55,1,13341,
2023-08-24,15:57:47.81,1,57238,
2023-08-24,15:57:48.14,1,16710,
2023-08-24,15:57:48.30,1,53044,
2023-08-24,15:57:48.53,1,39277,
2023-08-24,15:57:48.77,1,5919,
2023-08-24,15:57:49.03,1,603,
2023-08-24,15:57:49.30,1,30549,
2023-08-24,15:57:49.56,1,40265,
2023-08-24,15:57:49.80,1,39850,
2023-08-24,15:57:50.13,1,50197,
2023-08-24,15:57:50.30,1,6986,
2023-08-24,15:57:50.56,1,61782,
2023-08-24,15:57:50.78,1,6031,
2023-08-24,15:57:51.02,1,41105,
2023-08-24,15:57:51.28,1,36025,
2023-08-24,15:57:51.54,1,42079,
2023-08-24,15:57:51.81,1,14688,
2023-08-24,15:57:52.14,1,62939,
2023-08-24,15:57:52.30,1,31657,
2023-08-24,15:57:52.56,1,37301,
2023-08-24,15:57:52.81,1,57826,
2023-08-24,15:57:53.03,1,46790,
2023-08-24,15:57:53.28,1,60506,
2023-08-24,15:57:53.52,1,58149,
2023-08-24,15:57:53.81,1,22915,
2023-08-24,15:57:54.14,1,21758,
2023-08-24,15:57:54.30,1,55948,
2023-08-24,15:57:54.55,1,43852,
2023-08-24,15:57:54.79,1,41213,
2023-08-24,15:57:55.06,1,43942,
2023-08-24,15:57:55.28,1,19839,
2023-08-24,15:57:55.53,1,13492,
2023-08-24,15:57:55.77,1,47814,
2023-08-24,15:57:56.13,1,25904,
2023-08-24,15:57:56.30,1,47727,
2023-08-24,15:57:56.54,1,48411,
2023-08-24,15:57:56.81,1,8228,
